Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
1  0.4150 0.0005 588.8405 48 1 0.0417 3.9330 5.5779 0.4746 0.0000 0.0500 14.8667 4.0000 2 10 77.2882 61.5821 63.0744 66.6728 9 1 0 1 2 0 1 0 0 2 0 0 2 0 2 0 1 1 0 0 2 0
2  -0.0633 0.0879 1438.1453 156 0 0.3333 4.0133 8.1254 0.4558 20.9615 0.2766 10.9630 3.6667 -2 15 211.3349 187.3190 128.0601 174.5180 18 2 0 1 4 0 1 1 4 0 2 1 3 0 1 1 1 2 0 2 1 0
3  0.3922 0.3965 266.7503 32 0 0.5000 3.8073 3.8602 0.4266 14.0000 0.3384 30.0833 5.3333 2 8 51.9280 27.9686 13.3794 20.8960 6 0 3 1 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 3 0 0
4  0.0685 0.0070 350.3373 29 0 0.3103 4.0542 3.3274 0.5679 7.7778 0.3503 -5.0000 2.3636 0 3 59.1738 48.6804 40.1382 31.4988 7 0 0 1 1 0 0 0 6 0 0 1 1 0 0 1 0 0 0 0 0 0
5  0.1108 0.0013 427.6959 47 1 0.1915 3.9866 4.5705 0.5227 6.2222 0.2816 9.1500 4.2000 -1 11 42.2670 83.0113 24.8475 52.3948 13 1 3 1 3 0 0 2 2 0 1 2 1 0 0 1 0 0 0 1 2 0
6  0.0568 0.0009 96.9558 17 0 0.2941 3.4745 2.1311 0.3338 4.0000 0.1884 53.8889 4.5556 1 5 19.3221 10.7367 0.0000 0.0000 4 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 3 0 1 1 0
7  0.2371 0.8534 832.3862 88 1 0.7273 3.9723 6.4484 0.5029 38.5312 0.5545 38.4286 4.8095 4 12 156.9916 63.7029 118.5034 54.1901 7 0 1 0 1 0 0 0 2 3 0 3 1 0 1 1 1 0 2 3 2 0
8  0.3804 0.1519 685.7698 69 1 0.3623 3.8586 6.3263 0.4979 16.7200 0.3092 10.3158 4.2632 2 14 96.9269 64.7744 63.1737 79.0147 9 1 3 0 2 0 1 1 1 1 0 0 1 1 1 0 2 2 1 0 1 0
9  0.0979 0.9927 1529.8452 162 0 0.4259 4.0474 11.8800 0.4927 25.9710 0.6376 27.8936 3.8723 2 21 285.1586 181.4877 114.6807 95.9539 34 2 3 2 2 1 0 2 6 1 1 4 2 3 3 1 4 3 0 2 5 0
10  0.3814 0.8601 586.1514 80 0 0.7500 4.0359 4.9793 0.5637 54.0667 0.0345 64.7273 4.9091 1 6 96.7485 25.8257 42.5460 6.9841 6 0 1 1 0 1 1 0 1 0 0 6 0 4 3 0 0 1 1 1 1 0
11  -0.2679 0.5709 1590.1885 190 0 0.2789 3.9885 9.0033 0.4484 22.9057 0.3511 9.4500 4.3500 4 25 212.5425 273.3142 78.3652 126.0799 28 2 6 1 4 0 0 3 2 2 1 3 3 0 1 3 1 3 1 1 3 0
