ID Pocket_Score drug_score tSASA pSASA aSASA volume nb_asph apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score n_abpa COM_minus_asphr_max ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
1 0.3463 0.5160 232.990 101.359 131.631 989.9908 93 0.2796 3.9292 7.6370 0.5039 17.7692 0.2590 20.9500 3.7500 -1 9 15 20.037 1 2 1 2 0 0 1 2 0 2 0 0 1 1 1 1 2 0 0 3
2 0.0323 0.0015 45.736 10.715 35.021 173.8073 17 0.5882 4.0202 1.6737 0.6217 9.0000 0.2178 50.5714 3.8571 0 3 1 3.239 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 2
3 0.2093 0.9342 201.015 64.553 136.462 705.8842 66 0.7273 4.0622 5.6978 0.4753 38.8333 0.7197 29.2000 4.6000 0 9 13 15.491 1 3 0 2 0 0 2 2 0 0 3 1 1 2 0 0 0 0 1 2
4 0.3481 0.7246 162.450 64.553 97.897 557.1958 63 0.2381 3.9040 5.6862 0.4653 12.6667 0.6031 25.5263 3.4211 2 8 18 16.917 0 0 0 1 3 0 0 4 1 0 1 2 0 1 0 3 0 1 0 2
5 0.0489 0.7904 393.102 153.121 239.981 1533.1453 196 0.4337 4.0555 8.5689 0.4520 54.4235 0.6010 25.5854 4.0244 -4 25 27 21.591 0 0 3 4 1 3 2 1 2 3 2 0 3 4 1 5 3 1 2 1
6 0.1371 0.0052 53.505 17.276 36.229 123.9517 19 0.5263 3.8886 1.3906 0.4989 9.0000 0.0000 48.5000 4.3750 2 5 5 3.388 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 1 0 2
7 0.0724 0.2799 136.832 28.146 108.687 405.8888 20 0.8500 3.9955 4.2512 0.4689 15.8824 0.3218 42.1818 4.1818 1 3 0 7.465 0 0 0 0 0 1 0 0 1 1 2 0 0 1 2 0 1 0 0 2
8 0.0223 0.0069 83.719 28.168 55.551 217.6260 23 0.4783 3.9135 2.2210 0.4510 10.0000 0.0267 47.8000 4.5000 2 6 4 5.334 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 2 1 0 2
9 0.1935 0.2646 314.477 118.524 195.952 1246.0898 119 0.3697 3.9496 8.2120 0.5161 31.3636 0.2131 21.8929 3.6786 1 14 12 20.825 1 1 3 0 1 2 1 6 1 0 0 0 1 3 1 2 1 2 1 1
10 0.0509 0.1258 289.331 139.843 149.488 1073.7994 149 0.1946 4.0420 7.9316 0.5022 15.6552 0.3519 18.6071 3.5714 2 16 27 19.217 1 1 0 3 4 1 0 4 3 1 0 1 0 0 0 3 1 1 2 2
